"ID","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_6141",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,1
"OTU_296",0,1,0,1,4,5,0,0,3,0,1,0,2,3,0,3,5,3,1,0,1,0,1,1,0,1,1,3,0,0,2,3,2,6,0,0,0,0,3,6,0,1,1,1,6,7,2,4,0,4,0,0,0,1,0,0,0,0,3,4,41,51,27,0,0,0,2,0,1,1,7,0,0,2,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2
"OTU_2883",0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_3998",0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,2,0,0,0,1,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0
"OTU_1515",2,2,5,1,2,0,4,1,0,0,0,2,0,2,1,2,5,6,1,1,1,2,16,3,1,0,1,0,0,13,2,0,0,5,0,1,3,1,0,1,0,0,0,0,0,0,0,8,5,1,0,0,1,2,0,0,0,0,11,3,0,0,2,0,0,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
"OTU_13667",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1952",0,0,0,0,0,0,0,1,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,2,1,0,1,0,0,0,1,1,0,1,0,2,2,2,2,9,0,3,0,0,2,5,7,1,6,0,1,15,6,5,9,0,7,5,0,10,5,1
"OTU_3897",0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,5,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"OTU_791",0,1,0,1,0,0,1,2,2,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,4,0,3,0,2,2,0,0,0,0,0,3,0,1,2,0,0,5,1,0,3,3,0,1,0,0
"OTU_5644",0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"OTU_1628",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4,1,2,1,2,9,0,3,0,0,0,0,1,0,0,0,3,0,3,0,2,0,1,6,2,0,0,0,5,12,15,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"OTU_4304",0,10,6,0,0,1,1,2,1,0,0,0,0,6,0,0,2,7,4,0,2,1,2,0,3,1,5,10,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,12,11,0,0,0,1,3,0,0,1,1,1,1,1,1,5,1,3,2,3,6,3,2,4,0
"OTU_41",42,3,0,1,0,1,2,1,0,0,0,1,2,0,0,2,4,0,1,1,0,2,1,1,2,3,0,1,3,0,6,1,12,6,2,2,1,0,0,1,1,1,5,2,5,5,5,13,4,5,4,2,3,12,7,0,0,8,1,3,8,7,7,1,3,2,2,44,431,204,24,12,7,3,5,4,6,3,2,4,4,2,14,3,12,22,8,5,3,8
"OTU_59",10,0,1,3,0,1,0,3,2,0,3,0,45,44,38,0,3,3,0,2,1,0,0,1,3,8,0,0,5,3,1,0,13,1,0,1,1,8,1,1,1,0,7,8,2,11,5,2,8,9,6,7,4,5,14,10,2,7,4,3,166,67,83,1,9,24,10,124,154,306,133,159,170,623,345,156,123,17,38,58,117,73,15,26,25,120,61,16,18,106
"OTU_792",0,0,2,0,1,1,11,6,4,10,12,3,0,0,1,0,0,9,1,1,0,0,3,6,0,2,0,1,0,3,5,3,0,1,3,3,1,0,0,1,0,0,1,0,4,1,0,1,2,0,3,0,1,0,2,0,0,1,1,0,0,0,0,0,0,3,6,0,0,0,0,2,1,1,3,0,1,5,1,2,1,5,0,0,4,3,0,2,3,0
"OTU_2733",9,28,26,20,29,5,21,9,13,4,5,3,0,2,1,0,0,0,38,18,29,25,1,1,0,2,53,3,0,0,0,1,0,1,0,0,2,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,2,3,1,1,1,2,2,0,0,0,4,0,0,6,11,3,1,2,0,0,0,2,0,2,0,4,2,0,0,8,6,1,2,0,1,0,4,0
"OTU_1844",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_609",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,2,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,3,1,3,1,0,1,0,0,2,3,3,0,0,0,8,1,53,69,78,0,0,1,3,1,0,0,0,0,1,0,1,0,4,1,1,14,2,0,3,0,0,3,0,2,1,11
"OTU_2563",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,5,2,0,0,0,0,2,0,0,0,0,0,0,2,1,0,3,5,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_6273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
"OTU_1069",6,5,7,6,0,1,0,13,3,1,1,1,0,4,2,1,0,10,0,3,1,1,1,0,2,0,1,2,1,1,1,0,1,1,0,2,0,2,0,0,1,0,0,2,2,0,2,8,2,7,0,0,0,0,1,1,2,4,10,26,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,4,0,4,6,0,2,0,1
"OTU_5789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_6231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2753",0,0,0,0,0,1,0,0,5,0,0,2,0,0,1,0,0,1,1,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,6,0,8,29,0
"OTU_3210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,1,3,0,0,0,0,0,0,0,4
"OTU_2811",0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
