"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Coverage"
"S61",1827,2481.52798053528,63.4993730174105,2656.09622461103,28.4106133092722,6.26676577024891,0.99285116,139.882834138126,655.057914287765,0.9266
"S62",1933,2864.7039800995,84.261027409887,3053.45408586887,32.718431708319,6.0377247060683,0.98436436,63.9564482170221,713.541264141734,0.9134
"S63",2002,2736.8623853211,68.3426516226887,2908.71943681787,29.7962979636221,6.47663232564732,0.99282256,139.325441940302,752.923233997028,0.9199
"S65",2060,3532.54881266491,124.066333968413,3724.96317807307,37.3289408179351,6.17640898897853,0.9873059,78.7767545552658,786.844642869745,0.8943
"S85",1781,2513.5710723192,69.7849625124617,2720.0114422375,30.5532203114495,5.90324864065372,0.98027052,50.6855730612261,630.424013223593,0.9233
"S86",2131,3072.23026315789,81.8938741619284,3275.33273965859,33.2040529800226,6.60980622794222,0.9960443,252.799757312233,829.404946926551,0.9073
"S87",1665,2348.15223097113,67.0375011765297,2509.89001325317,28.6269412067436,5.2855163635052,0.9454473,18.3308983789987,570.263915026073,0.9278
"S88",1907,2650.91666666667,69.7173687239429,2883.46542443517,30.7385889712573,6.41251366927689,0.99358308,155.838003278832,698.972088631605,0.9209
"S89",1492,2419.1214953271,89.7548842378003,2728.24934677572,34.0423968523219,5.033006547402,0.95306396,21.3055894787886,485.626293449052,0.9228
"S112",2032,2951.02197802198,80.4207266574373,3213.47088026671,34.192000718349,6.27879651153867,0.99123586,114.101326542022,770.374686769863,0.9085
"S113",1341,2666.0125,131.988983425799,2980.60494361293,36.2913538414511,4.75370508785185,0.96549774,28.9836086099867,416.578900956042,0.9202
"S114",1525,2462.68518518519,90.3207084703106,2757.76968505221,33.9486959635052,5.35483676434053,0.9797062,49.2761335974534,501.309823358207,0.922
"S161",1870,2577.85751978892,69.0251881371342,2689.97788633346,27.8705319607364,6.54741228410236,0.99585466,241.234735872088,678.491181377169,0.9267
"S162",1905,2656.05497382199,72.1420300135248,2797.34196728006,29.2915412974551,6.6507362375659,0.99705526,339.588554507359,697.857399522182,0.9242
"S164",1666,2055.32865168539,44.3461932292329,2152.10900176216,22.9074209701359,6.56286272034604,0.9968622,318.694626808592,570.770692398844,0.9473
"S165",1959,2581.16312056738,60.5867145329643,2731.37212068647,27.9025697962843,6.67661448308058,0.99661314,295.258735229682,728.257879180856,0.9274
"S166",1881,2468.94865525672,58.5351277110794,2634.33908115434,27.089127890607,6.60654906141638,0.99627926,268.763740546235,684.549277248273,0.9306
"S167",2144,2783.16883116883,60.4096724620709,2908.38314789578,27.4977615028755,6.85708567873014,0.99662278,296.101527291678,837.322865910572,0.9231
"S168",2066,2613.86711711712,54.2673881516218,2706.72871777592,25.9555382976402,6.77466356197583,0.99659538,293.718535401895,790.396914655101,0.9302
"S169",2195,3094.02202643172,79.0924201570444,3240.43002048286,31.5419737908157,6.55994188810671,0.99114854,112.975712481331,868.764642404799,0.9096
"S170",1698,2189.74782608696,53.4096985266679,2285.2181173759,24.4178858790192,6.50486703932471,0.99645956,282.450768830993,587.095634043586,0.9417
"S171",1712,2373.43965517241,67.0533445448481,2506.96030232834,27.3590947244155,6.35178658554159,0.99497788,199.119097114366,594.30393562855,0.9321
