,M2,M8,M14,M6,M4,M3,M12,M1,M7,M10,M9,M11,M13,M5
S187,1.950174014,0.887647347,-2.007705132,4.398930744,-0.880673522,-1.847758859,0.861282309,1.286045885,2.09572945,-1.237637414,-1.466575788,-2.470115774,0.220015132,-0.487611803
S188,1.463602215,1.254579094,-0.476328852,0.962692532,-0.880673522,-1.878482699,0.068240317,1.200017303,1.617395768,-1.341534005,-1.636346125,-1.44481901,0.473987828,-0.474856991
S191,1.087945444,1.168221785,-1.837906576,1.585542688,-0.87220976,-1.77207333,-0.676776311,1.31363373,2.16142559,-1.317953338,-1.43543175,-1.610085941,-0.014088954,-0.483263662
S194,1.872302668,1.538020217,0.999700773,-1.429299968,-0.867049433,-1.765750395,-0.836847497,1.433594163,1.812542806,0.467064655,-0.881738614,0.470883632,0.571603185,-0.415024128
S196,1.953294963,1.609508735,-0.070774863,-1.147212844,-0.861869848,-1.736027072,-0.728779967,1.241901072,1.805529469,-0.648195685,-0.798919047,0.598288312,0.422356034,-0.518632939
S197,2.05264371,1.214520132,0.789477868,-0.514743082,-0.794498388,-1.755857919,-0.256044201,1.438500159,0.094310887,0.916423719,3.374030595,0.410210956,-1.449944687,-0.420401887
S198,2.10548666,1.281841481,0.917917688,-1.018140774,-0.815405268,-1.851421635,-0.250022146,1.311019353,0.382872343,1.065586412,3.617350989,0.598288312,-1.738648964,-0.47424056
S201,1.923629127,-0.339051708,-1.192698926,3.020324574,-0.82751305,-1.897330522,0.072327845,1.540042767,0.934419855,0.43049909,1.176193891,-0.000872836,-2.421203239,-0.518632939
S202,2.116407226,-0.741284721,-19.86776742,3.921279536,-0.855166601,-2.000098577,2.929541686,1.398568233,1.288166081,-0.896031317,-1.289844503,-1.931627303,-1.615472282,-0.495766831
S203,1.925232873,0.184278145,-10.97629722,9.323350847,-0.855696975,-1.738385254,-1.069223434,1.360507781,2.060779237,-1.143866948,-1.583100558,-2.05609881,0.553905268,-0.237113735
S204,1.851767246,0.743373557,-3.137719316,3.292104127,-0.835865027,-1.513436947,-0.676776311,1.368588422,1.745419482,2.264663806,-1.147707314,-1.962960555,0.473987828,-0.510447767
S205,2.484702914,1.243221011,-2.491016814,4.105555661,-0.848945239,-1.849106706,2.357474166,1.404426266,0.88500161,-1.125831111,-0.244923854,-0.539361307,0.571603185,-0.376329463
S206,2.45405629,1.07042599,-2.364293494,4.580665682,-0.874472813,-1.957496815,3.796850266,1.437524813,0.321772098,0.416896081,0.163659585,-3.988280157,-0.164044841,-0.518632939
S207,2.262487418,1.29843904,-0.280034786,20.29186476,-0.873186649,-1.813227275,1.494253115,1.501332809,0.046321394,1.180893845,-0.379001081,-1.790597678,-0.314045212,-0.50229274
S208,1.975046404,1.02989641,0.269160467,10.92652633,-0.873335246,-1.937921967,-0.227513431,1.417698011,0.389424463,-0.822282075,-0.846849793,-0.155833956,-0.031786871,-0.436841055
