"","z","module","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness"
"OTU_5867",1.34063212940848,"M4",0.58,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Candidatus Koribacter","s__",6,173
"OTU_1496",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__",3,98
"OTU_1283",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Candidatus Koribacter","s__",2,34
"OTU_2548",1.34063212940848,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",6,183
"OTU_1623",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadales Incertae Sedis","g__Acidibacter","s__",1,0
"OTU_3756",-0.704399932401065,"M4",0.197530864197531,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",1,0
"OTU_2005",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",1,0
"OTU_1360",0.522619304684661,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",4,47
"OTU_1297",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",1,0
"OTU_280",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__",3,60
"OTU_2690",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",1,0
"OTU_984",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",1,0
"OTU_10337",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",2,2
"OTU_3545",3.79467060357993,"M4",0,"Module hubs","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__",12,297
"OTU_1368",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__",3,36
"OTU_489",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 2","f__","g__","s__",2,30
"OTU_3508",0.93162571704657,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__","g__","s__",5,34
"OTU_7205",0.113612892322752,"M4",0.5,"Peripheral nodes","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__Lineage IIa","f__","g__","s__",3,9
"OTU_2361",-0.704399932401065,"M4",0.5,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",1,0
"OTU_1277",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__S-BQ2-57 soil group","o__","f__","g__","s__",3,34
"OTU_3597",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",2,0
"OTU_6465",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__",1,0
"OTU_6485",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__JG37-AG-4","o__","f__","g__","s__",3,94
"OTU_1632",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__BSV26","g__","s__",1,0
"OTU_11307",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",2,34
"OTU_3522",1.74963854177039,"M4",0.244897959183674,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",7,48
"OTU_657",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",1,0
"OTU_2003",2.1586449541323,"M4",0.13265306122449,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__TK10","o__","f__","g__","s__",8,162
"OTU_6200",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",1,0
