"","z","module","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness"
"OTU_1845",-1.02933355322665,"M1",0.417355371900826,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Demequinaceae","g__Lysinimicrobium","s__",1,0
"OTU_1172",0.728629369137965,"M1",0.21875,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__","g__","s__",20,474
"OTU_7474",0.728629369137965,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Pelolinea","s__",20,1129
"OTU_7636",1.0062024621429,"M1",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",23,617
"OTU_7470",-0.84428482455669,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfopila","s__",3,0
"OTU_1838",0.173483183128087,"M1",0.142011834319527,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sva0485","f__","g__","s__",14,690
"OTU_1718",-0.84428482455669,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__",3,6
"OTU_1857",-0.566711731551751,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",6,366
"OTU_8026",3.13426284184744,"M1",0.260355029585799,"Module hubs","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__","s__",46,2186
"OTU_8203",0.451056276133026,"M1",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Actibacter","s__",17,598
"OTU_8082",-0.566711731551751,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",6,37
"OTU_7467",0.0809588187931072,"M1",0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__PAUC43f marine benthic group","f__","g__","s__",13,300
"OTU_1216",-0.104089909876852,"M1",0.5,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__",11,506
"OTU_3117",1.37629991948282,"M1",0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__",27,2181
"OTU_1178",-0.289138638546812,"M1",0.48,"Peripheral nodes","k__Bacteria","p__Latescibacteria","c__","o__","f__","g__","s__",9,45
"OTU_7098",1.28377555514784,"M1",0.18,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__",26,283
"OTU_7595",-1.02933355322665,"M1",0.0831758034026465,"Peripheral nodes","k__Bacteria","p__Deferribacteres","c__Deferribacteres Incertae Sedis","o__","f__","g__Caldithrix","s__",1,0
"OTU_1810",-0.104089909876852,"M1",0,"Peripheral nodes","k__Bacteria","p__SHA-109","c__","o__","f__","g__","s__",11,399
"OTU_3263",-0.474187367216771,"M1",0.13265306122449,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",7,121
"OTU_7355",-0.104089909876852,"M1",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Robiginitalea","s__",11,76
"OTU_3204",-0.84428482455669,"M1",0,"Peripheral nodes","k__Bacteria","p__Lentisphaerae","c__R76-B128","o__","f__","g__","s__",3,1
"OTU_3283",0.173483183128087,"M1",0.0831758034026465,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",14,384
"OTU_850",-0.566711731551751,"M1",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__Mangrovibacterium","s__",6,52
"OTU_7333",-0.474187367216771,"M1",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__",7,13
"OTU_8150",-0.566711731551751,"M1",0.110726643598616,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__","s__",6,134
"OTU_3272",-0.936809188891669,"M1",0.277777777777778,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__PAUC43f marine benthic group","f__","g__","s__",2,11
"OTU_7632",-0.289138638546812,"M1",0.142011834319527,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",9,668
"OTU_7364",-0.84428482455669,"M1",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",3,3
"OTU_3129",-0.0115655455418725,"M1",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__Sva0725","g__","s__",12,207
"OTU_3154",0.728629369137965,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",20,837
"OTU_1900",0.358531911798046,"M1",0.5,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 21","f__","g__","s__",16,1615
"OTU_3188",-0.936809188891669,"M1",0.203017832647462,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Spartobacteria","o__Chthoniobacterales","f__LD29","g__","s__",2,0
"OTU_7723",-0.381663002881791,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadales Incertae Sedis","g__","s__",8,11
"OTU_3352",0.0809588187931072,"M1",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__",13,229
"OTU_3112",-0.474187367216771,"M1",0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__PAUC43f marine benthic group","f__","g__","s__",7,19
"OTU_7344",-0.381663002881791,"M1",0.462809917355372,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Desulfobacca","s__",8,30
"OTU_7670",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Latescibacteria","c__","o__","f__","g__","s__",2,2
"OTU_1826",0.821153733472945,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",21,3965
"OTU_7606",-0.381663002881791,"M1",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",8,67
"OTU_429",-0.381663002881791,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",8,120
"OTU_3118",0.728629369137965,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Sandaracinaceae","g__","s__",20,1625
"OTU_1820",-0.104089909876852,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",11,421
"OTU_7594",0.358531911798046,"M1",0.277777777777778,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",16,1137
"OTU_1890",-0.84428482455669,"M1",0.48,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Haliea","s__",3,6
"OTU_7395",1.65387301248776,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",30,462
"OTU_7330",2.76416538450752,"M1",0.277777777777778,"Module hubs","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",42,2568
"OTU_1902",0.451056276133026,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Pelagibius","s__",17,267
"OTU_8226",0.636105004802985,"M1",0.32,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",19,429
"OTU_7654",0.913678097807924,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",22,1317
"OTU_3197",2.67164102017254,"M1",0.444444444444444,"Module hubs","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__Mangrovibacterium","s__",41,1028
"OTU_653",0.358531911798046,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__",16,117
"OTU_1163",2.67164102017254,"M1",0.152777777777778,"Module hubs","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__",41,1272
"OTU_1189",-0.474187367216771,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__E01-9C-26 marine group","f__","g__","s__",7,475
"OTU_8130",-0.84428482455669,"M1",0.095,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Proteobacteria Incertae Sedis","o__","f__","g__Candidatus Thiobios","s__",3,0
"OTU_3344",-1.02933355322665,"M1",0.32,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__","s__",1,0
"OTU_16",1.11803398874989,"M7",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",3,7
"OTU_25",1.11803398874989,"M7",0.2265625,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",3,6
"OTU_102",0,"M7",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__","s__",2,0
"OTU_79",-1.11803398874989,"M7",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",1,0
"OTU_2190",0,"M7",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",2,0
"OTU_196",-1.11803398874989,"M7",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__TRA3-20","f__","g__","s__",1,0
"OTU_254",-0.577350269189626,"M10",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",1,0
"OTU_149",1.15470053837925,"M10",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",2,1
"OTU_817",-0.577350269189626,"M10",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",1,0
"OTU_673",-0.577350269189626,"M9",0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__","s__",1,0
"OTU_82",1.73205080756888,"M9",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__",5,999
"OTU_80",0,"M9",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__",2,0
"OTU_1971",-0.577350269189626,"M9",0.244897959183674,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Illumatobacter","s__",1,0
"OTU_3659",-0.577350269189626,"M9",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__","g__","s__",1,0
"OTU_5894",-0.577350269189626,"M11",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__",1,0
"OTU_3698",-0.577350269189626,"M11",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__OPB41","o__","f__","g__","s__",1,0
"OTU_8849",1.15470053837925,"M11",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__",2,1
"OTU_1702",-0.707106781186547,"M23",0.308390022675737,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Chitinophagaceae","g__Parasegetibacter","s__",1,0
"OTU_9207",0.707106781186547,"M23",0.0768,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Chitinophagaceae","g__Ferruginibacter","s__",2,334
"OTU_924",0.577350269189626,"M13",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__CL500-29 marine group","s__",2,334
"OTU_2048",-1.15470053837925,"M13",0.5,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__CL500-29 marine group","s__",1,0
"OTU_801",0.577350269189626,"M13",0.0399833402748855,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",2,666
"OTU_1822",1.38630250137659,"M5",0.314049586776859,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__Haliangium","s__",7,382
"OTU_1544",1.02982471530833,"M5",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",6,449
"OTU_3264",-0.752564215033007,"M5",0,"Peripheral nodes","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__","s__",1,0
"OTU_4108",-0.752564215033007,"M5",0.666666666666667,"Connectors","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__",1,0
"OTU_3276",1.38630250137659,"M5",0.1171875,"Peripheral nodes","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__","s__",7,739
"OTU_1842",-0.396086428964741,"M5",0.517777777777778,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",2,6
"OTU_3319",-0.752564215033007,"M5",0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__",1,0
"OTU_3274",-0.396086428964741,"M5",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__",2,0
"OTU_8001",-0.752564215033007,"M5",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Sva0071","f__","g__","s__",1,0
"OTU_6427",-0.396086428964741,"M5",0.046485260770975,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__PAUC43f marine benthic group","f__","g__","s__",2,334
"OTU_3265",-0.396086428964741,"M5",0,"Peripheral nodes","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__","s__",2,0
"OTU_1889",-0.752564215033007,"M5",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__E01-9C-26 marine group","f__","g__","s__",1,0
"OTU_7988",2.45573585958139,"M5",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",10,1365
"OTU_7378",-0.752564215033007,"M5",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__Sva0725","g__","s__",1,0
"OTU_3262",0.673346929240059,"M5",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__Sva0725","g__","s__",5,739
"OTU_1199",-0.752564215033007,"M5",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",1,0
"OTU_3311",-0.752564215033007,"M5",0.0867768595041323,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__",1,0
"OTU_8019",0.673346929240059,"M5",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Saprospiraceae","g__","s__",5,1085
"OTU_177",0.707106781186547,"M16",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__",2,334
"OTU_1287",-0.707106781186547,"M16",0.5,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__","o__","f__","g__","s__",1,0
"OTU_8222",-0.707106781186547,"M18",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__",1,0
"OTU_3329",0.707106781186547,"M18",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__SEEP-SRB4","s__",2,334
"OTU_7370",0.707106781186547,"M19",0.48,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__Sva0725","g__","s__",3,112
"OTU_3137",-0.707106781186547,"M19",0.5,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Saprospiraceae","g__","s__",2,0
